"Actions","Actions"
"Are you sure?","Êtes-vous sûr ?"
"Date Added","Date d'ajout"
"Error while marking as read. Please try again later.","Erreur lors de l'action ""Marquer comme lu"". Veuillez réessayer plus tard. Veuillez réessayer plus tard."
"Error while marking. Please try again later.","Erreur de marquage. Veuillez réessayer plus tard."
"Error while removing. Please try again later.","Erreur de suppression. Veuillez réessayer plus tard."
"Last update","Dernière mise à jour"
"Mark as Read","Marquer comme lu"
"Mark as read","Marquer comme lu"
"Message","Message"
"Message was successfully marked as read","Le message a été marqué comme lu avec succès !"
"Message was successfully removed","Le message a été supprimé avec succès !"
"Messages Inbox","Messages reçus"
"Notifications","Notifications"
"Please select messages","Veuillez sélectionner les messages"
"Read Details","Lire les détails"
"Remove","Supprimer"
"Severity","Importance"
"Show List","Afficher la liste"
"Show Toolbar","Afficher la barre d'outils"
"Total of %d record(s) were successfully marked as read","Un total de %d enregistrement(s) ont été marqué ""comme lu"" avec succès"
"Total of %d record(s) were successfully removed","Un total de %d enregistrement(s) ont été supprimé avec succès"
"Unable to proceed. Please, try again","Impossible de continuer. Veuillez réessayer ultérieurement"
"Update frequency","Fréquence de mise à jour"
"Use HTTPS to get feed","Utiliser le protocole HTTPS"
"critical","critique"
"major","majeur"
"minor","mineur"
"notice","annonce"
