" The customer doesn\'t exist in the system anymore"," Le client n\'existe plus dans le système"
" [deleted]"," [effacé]"
" and "," et "
"%s (Default Template from Locale)","%s (Gabarit par défaut pour la langue)"
"%s cache type(s) disabled.","%s type(s) de cache désactivé."
"%s cache type(s) enabled.","%s type(s) de cache activé."
"%s cache type(s) refreshed.","%s type(s) de cache actualisé."
"(Absolute path or Relative to Magento install root, ex. var/export)","(Chemin absolu ou relatif vers la racine d'installation de Magento, par ex. var/export)"
"(For US 2-letter state names)","(Pour les US, 2 lettres du nom de l'état)"
"(If left empty will be auto-generated)","(Généré automatiquement si non renseigné)"
"(Leave empty for first spreadsheet)","(Laisser vide pour la première feuille de calcul)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Les produits seront ajoutés/mis à jour dans ce magasin si la colonne 'store' est vide ou manquante dans le fichier d'import)"
"(Shift-)Click or drag to change value","Pour modifier la valeur, cliquez en maintenant la touche shift enfoncée ou glissez"
"(Starting with)","(Commençant par)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Si 'Non', seuls les champs mappés seront importés. Lorsque vous utilisez le mapping, utilisez 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Vous devez augmenter la mémoire allouée à PHP (php_limit) avant de modifier cette valeur)"
"(\\t for tab)","(\\t pour une tabulation)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - Si l'indexation est en cours, elle sera arrêté et un nouveau processus d'indexation débutera"
"\- Click on any of the time parts to increase it","\- Cliquez sur n'importe quelle partie de l'heure pour l'augmenter"
"\- Hold mouse button on any of the above buttons for faster selection.","\- Maintenez le bouton de la souris sur n'importe quel bouton ci-dessus pour une sélection rapide"
"\- Use the %s buttons to select month","\- Utilisez les boutons %s pour sélectionner le mois"
"\- Use the %s, %s buttons to select year","\- Utilisez les boutons %s, %s pour sélectionner l'année"
"\- or Shift-click to decrease it","\- ou cliquez en maintenant la touche shift enfoncée pour l'augmenter"
"\- or click and drag for faster selection.","\- ou cliquez et glissez pour une sélection plus rapide"
"\-- Please Select --","\-- Votre choix --"
"\-- Please select --","\-- Votre choix --"
"\-- Please select a category --","\-- Sélectionnez une catégorie --"
"\--Please Select--","[!]--Votre choix--"
"1 Hour","1 Heure"
"12 Hours","12 Heures"
"12h AM/PM","12h AM/PM"
"2 Hours","2 Heures"
"24 Hours","24 Heures"
"24h","24h"
"2YTD","Depuis le début de l'année dernière"
"6 Hours","6 Heures"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Erreur 404</h1><p>Page introuvable.</p>"
