"Collected Files Count","Nombre de fichiers collectés"
"Compilation","Compilation"
"Compilation State","État de la Compilation"
"Compilation error","Erreur de Compilation"
"Compilation successfully finished","Compilation Terminée avec succès !"
"Compiled","Compilé"
"Compiled Scopes Count","Compteur des différents champs d'application compilés"
"Compiler Status","Statut du Compilateur"
"Compiler include path disabled","Chemin d'inclusion du compilateur désactivé"
"Compiler include path enabled","Chemin d'inclusion du compilateur activé"
"Directory ""%s"" must be writeable","Le chemin ""%s"" doit être autorisé en écriture"
"Disable","Désactiver"
"Disabled","Désactivé"
"Enable","Activer"
"Enabled","Activé"
"File ""%s"" must be writeable","Le fichier ""%s"" doit être autorisé en écriture"
"Not Compiled","Non compilé"
"Run Compilation Process","Lancer le processus de compilation"
"Scopes Compilation Settings","Paramètres de portée de la compilation"
"System","Système"
"Tools","Outils"
