"Credit Card Type","Type de carte de crédit"
"Add New User","Ajouter un utilisateur"
"Items that you don","Articles que vous offrez"
"State/Province","État/Province"
"Magento Commerce - Administrative Panel","Magento Commerce - Console d'administration"
"3 stars","3 étoiles"
"Credit Memo Date","Date d'avoir"
"Double click on a group to rename it","Double-cliquez sur un groupe pour le renommer"
"Rating Not Available","Notations non disponibles"
"Gift Certificate","Chèque cadeau"
"Assigned Answers","Réponses assignées"
"Fax","Fax"
"Magento Admin","Administrateur Magento"
"Newsletter Message Preview","Aperçu du message de newsletter"
"4 stars","4 étoiles"
"Company","Entreprise"
"Invoice Date","Date de facture"
"Qty Returned","Qté retournée"
"Add New Customer Group","Ajouter un groupe d'utilisateurs"
"Visitors","Visiteurs"
"Shipping Method","Mode de livraison"
"Subtotal","Sous-total"
"5 stars","5 étoiles"
"Choose Store","Choisir le magasin"
"Import Tax Rates","Importer des taux de TVA"
"Roles","Rôles"
"If you do not specify an option value for a store then the default value will be used.","Si vous ne spécifiez pas de valeur d'option pour un magasin, c'est la valeur par défaut qui sera utilisée."
"Shipping","Livraison"
"Select from existing customer addresses:","Choisissez parmi les adresses client existantes :"
"Products","Produits"
"Edit User ","Éditer l'utilisateur"
"Item Status","Statut de l'article"
"Set as default billing address","Sélectionner comme adresse de facturation par défaut"
"Position","Position"
"Items Ordered","Articles triés"
"Fixed","Fixé"
"%s","%s"
"Same as Billing Address","Identique à l'adresse de facturation"
"Product In Stores","Produit dans les magasins"
"Working...","Tâche en cours..."
"Apply coupon code","Utiliser un bon de réduction"
"per page","par page"
"Tax","TVA"
"Telephone","Téléphone"
"Wishlist","Liste d'envies"
"Magento","Magento"
"Expiration Date","Date d'expiration"
"Add New Class","Ajouter une classe"
"Super product attributes configuration","Configuration des attributs de super produit"
"Previus page","Page précédente"
"Something went wrong...","Une erreur est survenue..."
"Lifetime Sales","Ventes par périodes"
"SKU","Réf."
"Log Out","Déconnexion"
"Failed","Échec"
"Billing Address","Adresse de facturation"
"Log into Magento Admin Page","Se connecter dans l'administration Magento"
"Invoice Status","Statut de facture"
"CC Type","Type de carte de crédit"
"Percentage","Pourcent"
"Are you sure?","Êtes-vous sûr ?"
"Email","Email"
"Customer Group:","Groupe de clients :"
"Option","Option"
"Primary Billing Address","Adresse de facturation principale"
"Create Backup","Créer une sauvegarde"
"Manage Options (values for your attribute)","Gérer les options (valeurs de votre attribut)"
"Total Due","Total dû"
"Copyright 2007","Copyright 2007"
"Newsletter Subscribers","Inscrits à la newsletter"
"CC Number","Numéro de carte de crédit"
"Add New Tax Rate","Ajouter un taux de TVA"
"Product Name","Nom de produit"
"Country","Pays"
"Purchase order number","Numéro de bon de commande"
"Date and Time","Date et heure"
"Categories","Catégories"
"Qty Cancelled","Quantité annulée"
"Card Verification Number","Numéro de vérification de carte"
"Order Date","Date de commande"
"This tab contains invalid data. Please correct before saving.","Cet onglet contient des données invalides. Veuillez les corriger avant de sauvegarder."
"Customer Balance","Balance client"
"Update Qty","Mettre à jour la quantité"
"Customer Groups","Groupes de clients"
"Export to","Exporter vers"
"configuration","configuration"
"Sorry, no quotes are available for this order at this time.","Aucune estimation n'est disponible pour cette commande"
"Options","Options"
"Attribute Name","Nom d'attribut"
"Total <strong>%d</strong> records found","<strong>%d</strong> enregistrements trouvés"
"Comment","Commentaire"
