"* Required Fields","* Υποχρεωτικά Πεδία"
"Email","Email"
"Email Template","Πρότυπο Email"
"Contact Information","Πληροφορίες Επαφής"
"Comment","Σχόλιο"
"Telephone","Τηλέφωνο"
"Your inquiry was submitted and will be responded as soon as possible. Thank you for contacting us.","Το ερώτημα σας υποβλήθηκε και θα απαντηθεί το συντομότερο δυνατό. Ευχαριστούμε που επικοινωνήσατε μαζί μας."
"Submit","Υποβολή"
"Contact Form","Φόρμα Επικοινωνίας"
"Name","Όνομα"
"Unable to submit your request. Please, try again later","Αδύνατη η υποβολή του αιτήματος σας. Παρακαλούμε προσπαθήστε ξανά αργότερα"
"Email Sender","Αποστολέας Email"
"Send Emails To","Αποστολή των Emails Προς"
"Enable Contact Us","Ενεργοποίηση της 'Επικοινωνίας'"
"Contacts","Επαφές"
"Contact Us","Επικοινωνία"
"Email Options","Επιλογές Email"
"No Deal Available","Δεν Deal διαθέσιμα"
"Follow Us On","Ακολουθήστε μας στο"
"How does it work","Πώς λειτουργεί"
"Current Offers","Τρέχουσες Προσφορές"
"Latest Offers","Τελευταίες Προσφορές"
"Sign In","Είσοδος"
"I want to receive daily offers to my mail","Θέλω να λαμβάνετε καθημερινά προσφέρει στο mail μου"
"Selected Region","Επιλεγμένα Περιφέρεια"
"New York","Νέα Υόρκη"
"cleveland","Κλίβελαντ"
"hartford","Hartford"
"Sign Out","Έξοδος"
"Today's Side Deal","Deal Side σημερινή"
"Today's Main Deal","Κύρια Deal σήμερα"
"Do u have business?","Να u έχω επιχείρηση;"
"Who we are","Ποιοι είμαστε"
"Contact Us","Επικοινωνήστε μαζί μας"
"Terms of use","Όροι χρήσης"
"Any Questions? Use this form to contact us. Our representative will get back to you.","¸÷åôå áðïñßåò; ×ñçóéìïðïéÞóôå áõôÞ ôç öüñìá ãéá íá åðéêïéíùíÞóåôå ìáæß ìáò. Åêðñüóùðïò ìáò èá åðéêïéíùíÞóåé ìáæß óáò."
"Mandatory","Õðï÷ñåùôéêÜ ðåäßá"
"please enter your full name","ðáñáêáëþ åéóÜãåôå üëï ôï ïíïìáôåðùíõìü óáò"
"So we can get back to you","Ãéá íá ìðïñÝóïõìå íá óáò áðáíôÞóïõìå"
"Please enter the details of the request we will respond as quickly as possible.","Ðáñáêáëþ åéóÜãåôå ôá óôïé÷åßá ôïõ ó÷ïëßïõ óáò, èá óáò áðáíôÞóïõìå ôï óõíôïìüôåñï äõíáôüí."
