"%s more needed to get the deal","%s αγορές ακόμα για να ενεργοποιηθεί το Deal"
"--Please Select--","- Επιλέξτε -"
"(ver. %s)","(έκδ. %s)"
"%s Item(s)","%s Είδος(η)"
"%s was added to your shopping cart.","%s προστέθηκε στο καλάθι αγορών σας."
"A new password has been sent.","Ο καινούριος κωδικός σας έχει σταλεί. Παρακαλώ ελέγξτε το e-mail σας."
"A new password has been sent.","Ένας νέος κωδικός πρόσβασης έχει σταλεί."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please.","Ο λογαριασμός απαιτείται επιβεβαίωση. Παρακαλούμε, ελέγξτε το email σας γιασύνδεσμο επιβεβαίωσης. Για να στείλουμε ξανά το μήνυμα επιβεβαίωσης παρακαλώ."
"Account login","Είσοδος σε λογαριασμό"
"Account password","Ο λογαριασμός κωδικό πρόσβασης"
"Any Questions? Use this form to contact us. Our representative will get back to you.","Έχετε απορίες; Χρησιμοποιήστε αυτή τη φόρμα για να επικοινωνήσετε μαζί μας. Εκπρόσωπος μας θα επικοινωνήσει μαζί σας."
"Bad request.","Ακατάλληλο αίτημα."
"Be the First to Comment","Γίνετε ο πρώτος που θα σχολιάσει"
"bought","αγορές έως τώρα"
"BUSINESS","ΕΠΙΧΕΙΡΗΣΕΙΣ"
"Buy","σε:"
"Buy it for a friend!","Αγοράστε το για ένα φίλο!"
"Buy Now!","Αγόρασέ το!"
"Buy Options","Επιλογές Αγοράς"
"Buy this for a friend!","Κάν' το δώρο σε έναν φίλο!"
"Buy this for your Friend!","Αγοράστε αυτό για το φίλο σας!"
"Call Us","Καλέστε μας"
"Cannot save the customer.","Δεν μπορεί να σώσει τον πελάτη."
"Certificate","Πιστοποιητικό"
"Change","Αλλαγή"
"Close Window","Κλείσιμο Παράθυρου"
"Comments","Σχόλια"
"Confirmation request has been sent.","Αίτηση επιβεβαίωσης έχει αποσταλεί."
"Contact us","Επικοινωνήστε μαζί μας"
"CONTACT US","ΕΠΙΚΟΙΝΩΝΙΑ"
"Copyright","Πνευματικά Δικαιώματα"
"Coupon","Τοκομερίδιο"
"Credit Card (saved)","Πιστωτική Κάρτα (σώζεται) "
"Credit card number does not match credit card type","Αριθμός πιστωτικής κάρτας δεν ταιριάζει με το είδος της πιστωτικής κάρτας"
"Current Offer","Τρέχουσα Προσφορά"
"Daily Deals On the Best in","Καθημερινές Προσφορές σχετικά με τα βέλτιστα"
"Deal Achieved","Deal Επιτεύχθηκε"
"Deal Achieved! Keep Buying!","Deal Επιτεύχθηκε! Κρατήστε Αγορά!"
"Deal Not Achieved","Deal δεν επιτυγχάνεται"
"Default Description","Προεπιλεγμένη Περιγραφή"
"Default Keywords","Προεπιλεγμένες Λέξεις Κλειδιά"
"Default Robots","Προεπιλεγμένα Robots"
"Default Title","Προεπιλεγμένος Τίτλος"
"Description","Λίγα λόγια για την επιχείρηση"
"Discount","Έκπτωση"
"Discuss the Deal","Συζήτηση για το Deal"
"Discussion","Συζήτηση"
"Do you have business?","Έχετε επιχείρηση?"
"Download","Λήψη"
"Enjoy our daily unbeatable offers...Learn","Επωφεληθείτε από τις ημερήσιες ασυναγώνιστες προσφορές μας...Μάθετε"
"Enter the code","Εισάγετε τον κωδικό"
"Enter your email address here...","Εισάγετε την ηλεκτρονική σας διεύθυνση εδώ ..."
"Failed to confirm customer account.","Απέτυχε να επιβεβαιώσετε τον λογαριασμό του πελάτη."
"Failed to load customer by id.","Απέτυχε να φορτώσει τον πελάτη με id."
"Fill out the form below and give the gift!","Συμπληρώστε την παρακάτω φόρμα και θα δώσει το δώρο!"
"Follow Us On","Ακολουθήστε μας στο"
"Footer","Υποσελίδιο"
"For any further questions or information please call us at","Για τυχόν απορίες ή πληροφορίες παρακαλούμε τηλεφωνήστε μας στο"
"Friend Email Address","Email του φίλου σας:"
"Friend Name","Όνομα του φίλου σας:"
"Friend's email","E-mail του φίλου "
"Friend's name","Το όνομα του παραλήπτη"
"Grand Total:","Τελικό Σύνολο:"
"Greece","Ελλάδα"
"Header","Κεφαλίδα"
"Hi, I thought it might interest you.","Γεια, σκέφτηκα ότι μπορεί να σας ενδιαφέρουν."
"Highlights"," Στιγμιότυπα"
"HOURS","ώρες"
"How does it work","Πώς λειτουργεί"
"HOW IT WORKS","ΠΩΣ ΛΕΙΤΟΥΡΓΕΙ"
"HTML Head","HTML Head"
"I want to receive daily offers to my mail","Θέλω να λαμβάνω την καθημερινή προσφορά στο email μου"
"If you need to change the subscription, please select a city","Αν χρειαστεί να αλλάξετε την εγγραφή, επιλέξτε μια πόλη"
"If you need to subscribe for our Daily Newsletter, please select a city","Αν χρειαστεί να εγγραφείτε για το καθημερινό ενημερωτικό δελτίο μας, επιλέξτε μια πόλη"
"Interface Language","Γλώσσα Διασύνδεσης"
"Invalid current password","Άκυρα τρέχοντα κωδικό πρόσβασης"
"Invalid customer data","Δεδομένα πελατών Άκυρα"
"Items %s to %s of %s total","Είδη %s εώς %s από %s σύνολο"
"Join the discussion","Ενώστε τη συζήτηση"
"Larnaca","Λάρνακα"
"Latest Offers","Προηγούμενες Προσφορές"
"Loading...","Φόρτωση …"
"Login and password are required.","Χρήστη και κωδικό πρόσβασης που απαιτείται."
"Login or Create an Account","Συνδεθείτε με ή Δημιουργείστε έναν λογαριασμό"
"Logo Image Alt","Alt Εικόνας Λογοτύπου"
"Logo Image Src","Πηγή Εικόνας Λογοτύπου"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Το Magento είναι σήμα κατατεθέν της Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Mandatory","Υποχρεωτικά πεδία"
"Maximum one item to add the shopping cart.","Μέγιστη ένα στοιχείο για να προσθέσετε το καλάθι αγορών."
"Maximum Quantity reached for Deal","Μέγιστη ποσότητα που επιτεύχθηκε για Deal"
"Message","Κείμενο"
"Message subject","Θέμα μηνύματος"
"Message text","Το κείμενο του μηνύματος "
"MINUTES","λεπτά"
"more info","μάθετε..."
"My Account","Ο λογαριασμός μου"
"Next Page","Επόμενη Σελίδα"
"No Comments Yet","Δεν υπάρχουν ακόμη σχόλια"
"No Deal Available","Καμία διαθέσιμη προσφορά"
"No.6, Petraki Gialourou street","Πετράκη Γιάλουρου 6"
"or","ή"
"Page:","Σελίδα:"
"per page","ανα σελίδα"
"Please enter a valid email address.","Παρακαλώ εισάγετε μια έγκυρη διεύθυνση ηλεκτρονικού ταχυδρομείου."
"Please enter the code, which is used for spam filter.","Παρακαλώ εισάγετε τον κωδικό, το οποίο χρησιμοποιείται για το spam φίλτρο."
"Please enter the details of the  request we will respond as quickly as possible.","Παρακαλώ εισάγετε τα στοιχεία της αίτησης, θα απαντήσει το συντομότερο δυνατόν."
