"# of Use","Nb d'utilisations"
"%1$s incl tax.","%1$s TTC"
"%s - %s","%s - %s"
"%s Item(s)","%s article(s)"
"(%d)","(%d)"
"(Copy data from: %s)","(Copier les données depuis : %s)"
"(Will make search for the query above return results for this search.)","(Fera une recherche pour la requête ci-dessus. Retourne des résultats pour cette recherche)"
"* Required Fields","* Champs obligatoires"
"-- Please Select --","-- Votre choix --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 par défaut, si non renseigné. Pour actualiser instantanément, purgez le cache des Blocs HTML de Sortie."
"A name is required","Un nom est requis"
"ALL GROUPS","TOUS LES GROUPES"
"AM","AM"
"Action","Action"
"Add Attribute","Ajouter un attribut"
"Add Design Change","Ajouter un changement d'habillage"
"Add Group","Ajouter un groupe"
"Add New","Ajouter"
"Add New Attribute","Nouvel attribut"
"Add New Attribute Set","Nouveau groupe d'attributs"
"Add New Group","Nouveau groupe"
"Add New Images","Nouvelles images"
"Add New Option","Ajouter une option"
"Add New Row","Ajouter une ligne"
"Add New Search Term","Ajouter un terme de recherche"
"Add New Set","Ajouter un nouveau groupe"
"Add Product","Ajouter un produit"
"Add Product To Websites","Ajouter le produit aux sites web"
"Add Root Category","Ajouter une catégorie racine"
"Add Subcategory","Ajouter une sous-catégorie"
"Add Tax","Ajouter une taxe"
"Add Tier","Ajouter un niveau"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter au comparateur"
"Add to Wishlist","Ajouter à ma liste d'envies"
"Additional Information","Informations complémentaires"
"Alert Urls","Urls d'alerte"
"All","Tous"
"All Product Types","Tous les types de produit"
"All Websites","Tous les sites web"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Tous les produits de ce jeu seront supprimés ! Êtes-vous sûr de vouloir supprimer ce jeu d'attributs ?"
"Allow All Products per Page","Autoriser tous les produits par page"
"Allow HTML-tags on Front-end","Autoriser les tags HTML dans le frontend"
"Allowed File Extensions","Extensions de fichier autorisées"
"Allowed file extensions to upload","Extensions de fichier autorisées pour l'envoi"
"Anchor Custom Text","Texte personnalisé de l'ancre"
"Anchor Custom Title","Titre personnalisé de l'ancre"
"Apply To","S'applique à"
"Approved","Approuvé"
"Are you sure you want to delete this category?","Êtes-vous sûr de vouloir supprimer cette catégorie ?"
