"Action","Action"
"Add New Block","Ajouter un nouveau bloc"
"Add New Page","Ajouter une nouvelle page"
"All countries","Tous les pays"
"Anchor Custom Text","Présenter un texte personnalisé"
"Anchor Custom Title","Présenter un titre personnalisé"
"Are you sure you want to delete current folder?","Êtes-vous sûr de vouloir supprimer le dossier courant ?"
"Are you sure you want to delete the selected file?","Êtes-vous sûr de vouloir supprimer le fichier sélectionné ?"
"Block","Bloc"
"Block Information","Informations du bloc"
"Block Title","Titre du bloc"
"Block was successfully deleted","Le bloc a été supprimé avec succès !"
"Block was successfully saved","Bloc sauvegardé avec succès !"
"CMS","CMS"
"CMS Home Page","Page d\'accueil CMS"
"CMS No Cookies Page","Page pas de Cookies CMS"
"CMS No Route Page","Page non trouvée CMS"
"CMS No-Route Page","Page non trouvée CMS"
"CMS Page","Page CMS"
"CMS Page Link","Lien Page CMS"
"CMS Page Link Block Template","Gabarit du bloc lien page CMS"
"CMS Page Link Inline Template","Gabarit du bloc lien en ligne CMS"
"CMS Pages (All)","Pages CMS (toutes)"
"CMS Static Block","Bloc statique CMS"
"CMS Static Block Default Template","Gabarit par défaut du bloc statique CMS"
"Cannot create new directory","Impossible de créer un nouveau répertoire"
"Cannot delete directory %s","Impossible de supprimer le répertoire %s"
"Cannot delete root directory %s","Impossible de supprimer le répertoire racine %s"
"Cannot upload file","Impossible de télécharger le fichier"
"Collapse All","Tout réduire"
"Content","Contenu"
"Content Heading","En-tête de contenu"
"Content Management","Gestion du contenu"
"Contents of a Static Block","Contenu d'un bloc statique"
"Create Folder...","Créer un dossier..."
"Custom Design","Habillage personnalisé"
"Custom Design From","Habillage personnalisé à partir du"
"Custom Design To","Habillage personnalisé jusqu'au"
"Custom Layout","Agencement personnalisé"
"Custom Layout Update XML","XML de mise à jour de l'agencement personnalisé"
"Custom Theme","Thème personnalisé"
"Customer Tax Class Information","Informations de classe de TVA client"
"Date Created","Date de création"
"Delete Block","Supprimer le bloc"
"Delete File","Supprimer le fichier"
"Delete Folder","Supprimer le dossier"
"Delete Page","Supprimer la page"
"Description","Description"
"Design","Habillage"
"Directory %s is not writable by server","Impossible d'écrire dans le répertoire %s"
"Disabled","Désactivé"
"Disabled Completely","Désactivé complètement"
"Disabled by Default","Désactivé par défaut"
"Edit Block","Éditer le bloc"
"Edit Block '%s'","Éditer le bloc '%s'"
"Edit Page","Éditer la page"
"Edit Page '%s'","Éditer la page '%s'"
"Enable WYSIWYG editor","Activer l'éditeur WYSIWYG"
"Enabled","Activé"
"Enabled by Default","Activé par défaut"
"Error while saving Page. Please try again later.","Erreur lors de la sauvegarde de la page. Veuillez réessayer plus tard."
"Expand All","Tout développer"
"General Information","Informations générales"
"Go to Home Page","Aller à la page d'accueil"
"Home","Accueil"
"ID","ID"
"Identifier","Identifiant"
"If empty, the Page Title will be used","Si vide, le titre de page sera utilisé"
"Images (%s)","Images (%s)"
"Insert File","Insérer le fichier"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Nom de dossier invalide. Seuls les caractères alphanumériques, underscore (_) et dièse sont autorisés."
"Keywords","Mots clés"
"Last Modified","Modifié le"
"Layout","Agencement"
"Layout Update XML","XML de mise à jour d'agencement"
"Link to a CMS Page","Lien vers une page CMS"
"Manage Pages","Gestion des pages"
"Media Storage","Stockage des Medias"
"Meta Data","Données meta"
"Meta Description","Méta description"
"Meta Keywords","Mots-clés Meta"
"New Block","Nouveau bloc"
"New Folder Name:","Nouveau nom de dossier :"
"New Page","Nouvelle page"
"No files found","Aucun fichier trouvé"
"Page Information","Informations de la page"
"Page Layout","Agencement de page"
"Page Status","Statut de la page"
"Page Title","Titre de page"
"Page URL Key cannot consist only of numbers.","La clé URL de page ne peut être composée uniquement de chiffres."
"Page URL Key for specified store already exist.","Cette clé URL de page existe déjà pour le magasin choisi."
"Page was successfully deleted","Page supprimée avec succès"
"Page was successfully saved","La page a été sauvée avec succès"
"Pages","Pages"
"Product Tax Class Information","Information de la classe de TVA produit"
"Redirect to CMS-page if cookies are disabled","Rediriger vers la page CMS si les cookies sont désactivés"
"Relative to Website Base URL","Relatif à l'URL de base du site web"
"Save Block","Sauvegarder le bloc"
"Save Page","Sauvegarder la page"
"Select Block...","Choisir un bloc..."
"Select Page...","Choisir une page..."
"Show breadcrumbs for CMS pages","Afficher le fil d'Ariane pour les pages CMS"
"Show notice if JavaScript is disabled","Afficher une notification si JavaScript est désactivé"
"Static Blocks","Blocs statiques"
"Status","Statut"
"Storage Root","Racine du stockage"
"Store View","Vue magasin"
"Such a block identifier in selected store already exist.","L'identifiant de bloc existe déjà pour le magasin choisi."
"Such directory already exists. Try another folder name","Un répertoire du même nom existe déjà. Essayez un autre nom de dossier"
"Template","Gabarit"
"The page you are trying to save no longer exists","La page que vous êtes en train d'essayer de sauvegarder n'existe plus"
"This Block no longer exists","Ce bloc n'existe plus"
"This block no longer exists","Ce bloc n'existe plus"
"This page no longer exists","Cette page n'existe plus"
"Title","Titre"
"URL Key","Clé URL"
"Unable to find a block to delete","Impossible de trouver un bloc à supprimer"
"Unable to find a page to delete","Impossible de trouver une page à supprimer"
"WYSIWYG Options","Options WYSIWYG"
"px.","px."
