"%s","%s"
"%s already exist","%s existe déjà"
"%s already exists","%s existent déjà"
"\-- Please Select --","\-- Votre choix --"
"Add Block Names to Hints","Ajouter les noms des blocs aux astuces"
"Add Secret Key to URLs","Ajouter une clé secrète aux URLs"
"Add Store Code to Urls","Ajouter le code du magasin aux URLs"
"Admin","Admin"
"Admin Base URL","URL de base de l'admin"
"Admin User Emails","Emails de l'administrateur"
"Advanced","Avancé"
"Allow countries","Autoriser les pays"
"Allowed IPs (comma separated)","IPs autorisées (séparées par des virgules)"
"Allows Customers to stay logged in when switching between different Stores.","Permettre aux clients de rester connecté lors du passage d'un magasin à l'autre."
"Alternative text for Next Link in pagination menu. If empty, default arrow image will used","Texte alternatif pour le lien Suivant dans le menu de pagination. Si laissé vide, l'image de flèche par défaut sera utilisée"
"Alternative text for Previous link in pagination menu. If empty, default arrow image will used","Texte alternatif pour le lien Précédent dans le menu de pagination. Si laissé vide, l'image de flèche par défaut sera utilisée"
"Anchor Text for Next","Texte d'ancrage pour Suivant"
"Anchor Text for Previous","Texte d'ancrage pour Précédent"
"Are you sure?","Êtes-vous sûr ?"
"Back","Retour"
"Backup options","Options de sauvegarde"
"Base JavaScript URL","URL de base Javascript"
"Base Link URL","URL de base lien"
"Base Media URL","URL de base Media"
"Base Skin URL","URL de base habillage"
"Base URL","URL de base"
"Before modifying the store view code please make sure that it is not used in index.php","Avant de modifier le code de vue magasin, assurez-vous qu'il n'est pas utilisé dans index.php"
"Before modifying the website code please make sure that it is not used in index.php","Avant de modifier le code de site web, assurez-vous qu'il n'est pas utilisé dans index.php"
"Block with name ""%s"" already exists","Un bloc portant le nom ""%s"" existe déjà"
"Browser Capabilities Detection","Détection des capacités du navigateur"
"CSS Settings","Paramètres CSS"
"Cache Storage Management","Gestion du cache"
"Cache storage can contain another data. Are you sure that you want flush it?","Le Stockage du cache peut contenir d\'autre données. Êtes-vous sûr de vouloir le purger ?"
"Can't retrieve request object","Impossible de récupérer l'objet de requête"
"Can\'t retrieve entity config: %s","Impossible de récupérer la configuration de l\'entité : %s"
"Cancel","Annuler"
"Cannot complete this operation from non-admin area.","Impossible d'accomplir cette opération en dehors de la section d'admin."
"Card type doesn\'t match credit card number","Le type de carte ne correspond pas au numéro de la carte de crédit"
"Category object is required for determining product request path","L'objet catégorie est obligatoire pour déterminer le chemin de requête du produit"
"Code","Code"
"Configuration","Configuration"
"Controller file was loaded but class does not exist","Le fichier de controller a été chargé mais la classe n'existe pas"
"Cookie Domain","Domaine du cookie"
"Cookie Lifetime","Durée de vie des cookies"
"Cookie Path","Chemin du cookie"
"Copyright","Copyright"
"Countries options","Options des pays"
"Create Store","Créer un magasin"
"Create Store View","Créer une vue magasin"
"Create Website","Créer un site web"
"Credit card number doesn\'t match credit card type","Le type de carte ne correspond pas au numéro de la carte de crédit"
