"* Required Fields","* Champs obligatoires"
"A new password was sent","Un nouveau mot de passe a été envoyé"
"Account Dashboard","Tableau de bord du compte"
"Account Information","Informations du compte"
"Account Sharing Options","Options de partage de compte"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Vous devez confirmer la création de compte. Pour ce faire, un email vous a été envoyé contenant le lien de confirmation. Si vous ne l'avez pas reçu, vérifiez votre filtre anti spam ou <a href=""%s"">cliquez ici</a> pour envoyer l'email à nouveau."
"Account information was successfully saved","Les informations du compte ont été sauvegardées avec succès !"
"Action","Action"
"Add New Address","Ajouter une nouvelle adresse"
"Add New Customer","Ajouter un nouveau client"
"Add New Customer Group","Ajouter un nouveau groupe de clients"
"Added From","Ajouté depuis"
"Additional Address Entries","Saisies d'adresses supplémentaires"
"Address","Adresse"
"Address Book","Carnet d'adresses"
"Address Books","Carnets d'adresses"
"Address Information","Informations d'adresse"
"Addresses","Adresses"
"Admin","Admin"
"All","Tout"
"All Store Views","Toutes les vues magasin"
"All countries","Tous les pays"
"Always optional","Toujours facultatif"
"Amount","Montant"
"Approved","Approuvé"
"Are you sure that you want to remove this item?","Êtes-vous sûr de vouloir retirer cet article ?"
"Are you sure you want to cancel adding of this address?","Êtes-vous sûr de vouloir annuler l'ajout de cette adresse ?"
"Are you sure you want to delete this address?","Êtes-vous sûr de vouloir effacer cette adresse ?"
"Are you sure?","Êtes-vous sûr ?"
"Array of Entity collections is expected","Un tableau de collections d'entités est attendu"
"Assign a customer group","Assigner un groupe client"
"Average Sale","Ventes moyennes"
"Back","Retour"
"Back - link to the previously viewed page","Retour - Lien vers la dernière page visitée"
"Back to Login","Retour à l'identification"
"Bad request.","Non trouvé."
"Bill to Name","Nom (Fact.)"
"Bought From","Acheté sur"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","En créant un compte sur notre boutique, vous pourrez passer vos commandes plus rapidement, enregistrer plusieurs adresses de livraison, consulter et suivre vos commandes, et plein d'autres choses encore."
"CSV","CSV"
"Can\'t save address","Impossible de sauvegarder l\'adresse"
"Can\'t save customer","Impossible de sauvegarder le client"
"Can\'t share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Impossible de partager les comptes client au niveau global car il existe des comptes client avec le même email dans plusieurs sites web qui ne peuvent pas être fusionnés."
"Cancel","Annuler"
"Change Account Password","Modifier le mot de passe du compte"
"Change Billing Address","Modifier l'adresse de facturation"
"Change Password","Modifier le mot de passe"
"Change Shipping Address","Modifier l'adresse de livraison"
"City","Ville"
"Company","Société"
"Config","Configuration"
"Confirm New Password","Confirmer le nouveau mot de passe"
"Confirm Password","Confirmer le mot de passe"
"Confirmation Link Email","Email de lien de confirmation"
"Confirmed","Confirmé"
"Contact Information","Informations de contact"
"Continue Shopping","Continuer vos achats"
"Country","Pays"
"Create","Créer"
"Create New Account Options","Options de création de nouveaux comptes"
"Create New Customer Account","Créer un nouveau compte client"
"Create Order","Créer une commande"
"Create an Account","Créer un compte"
"Create customer","Créer un client"
"Create customer address","Créer une adresse"
"Current Password","Mot de passe actuel"
"Customer","Client"
"Customer Account Edit Form","Formulaire de modification de compte client"
"Customer Account Login Form","Formulaire de connexion au compte client"
"Customer Account Logout Success","Réussite de la déconnexion du compte client"
"Customer Account Registration Form","Formulaire d\'enregistrement de compte client"
"Customer Addresses","Adresses client"
"Customer Api","API client"
"Customer Configuration","Configuration client"
"Customer Forgot Password Form","Formulaire d\'oubli de mot de passe client"
"Customer Group","Groupe de clients"
"Customer Group was successfully deleted","Groupe de client supprimé avec succès !"
"Customer Group was successfully saved","Le groupe de client a été sauvegardé avec succès !"
"Customer Groups","Groupes clients"
"Customer Information","Informations client"
"Customer Login","Identifiant client"
"Customer My Account (All Pages)","Client Mon Compte (toutes les pages)"
"Customer My Account Address Book","Carnet d\'adresses"
"Customer My Account Address Edit Form","Formulaire de modification d\'adresse"
"Customer My Account Dashboard","Client Mon Compte Tableau de bord"
"Customer Since","Client depuis le"
"Customer View","Vue client"
"Customer collection expected","Collection de clients attendue"
"Customer doesn\'t have default billing address","Le client n'a pas d'adresse de facturation principale"
"Customer email already exists","Cet email client existe déjà"
"Customer email is required","Un email client est requis"
"Customer website id must be specified, when using website scope.","L'identifiant du site web doit être spécifié lors de l'utilisation de la portée au niveau du site web."
"Customer will stay on the current page if ""No"" is selected","Les clients resteront sur la page courante si ""Non"" est sélectionné"
"Customers","Clients"
"Customers Only","Clients seulement"
"Customers Section","Section client"
"DD","JJ"
"Date","Date"
"Date Added","Date d'ajout"
"Date of Birth","Date de naissance"
"Date of Birth is required.","La date de naissance est obligatoire."
"Day","Jour"
"Days in Wishlist","Jours dans la liste d'envies"
"Default Addresses","Adresses par défaut"
"Default Billing Address","Adresse de facturation par défaut"
"Default Email Domain","Domaine de mail par défaut"
"Default Group","Groupe par défaut"
"Default Shipping Address","Adresse de livraison par défaut"
"Default Welcome Email","Email d'accueil par défaut"
"Delete","Supprimer"
"Delete Address","Effacer l'adresse"
"Delete Customer","Supprimer le client"
"Delete Customer Group","Supprimer le groupe de clients"
"Delete customer","Supprimer le client"
"Delete customer address","Supprimer l'adresse du client"
"Deleted Stores","Magasins effacés"
"Details","Détails"
"Disabled","Désactivé"
"Edit","Éditer"
"Edit Account Info","Éditer les informations du compte"
"Edit Account Information","Éditer les informations du compte"
"Edit Address","Éditer l'adresse"
"Edit Address Entry","Éditer la saisie d'adresse"
"Edit Customer Group ""%s""","Éditer le groupe clients ""%s"""
"Edit Customer Groups","Éditer les groupes de client"
"Edit Customer's Address","Éditer l'adresse du client"
"Edit Group","Éditer le groupe"
"Edit Newsletters","Éditer les newsletters"
"Email","Email"
"Email Address","Adresse email"
"Email Sender","Expéditeur du mail"
"Email:","Email :"
"Entity collection is expected","Une collection d'entités est attendue"
"Error during retrieval of option value: %s","Erreur lors de la récupération de la valeur de l'option : %s"
"Failed to confirm customer account.","Impossible de confirmer le compte client"
"Fax","Fax"
"First Name","Prénom"
"First name can\'t be empty","Le prénom ne peut pas être vide"
"Forgot Email Sender","Expéditeur du mail d'oubli"
"Forgot Email Template","Gabarit du mail d'oubli"
"Forgot Your Password?","Mot de passe oublié ?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Depuis le tableau de bord 'Mon compte', vous pouvez avoir un aperçu de vos récentes activités et mettre à jour les informations de votre compte. Sélectionnez un lien ci-dessous pour voir ou modifier les informations."
"Gender","Sexe"
"Gender is required.","Le sexe est obligatoire."
"General Subscription","Je m'abonne"
"Generate Human-Friendly Customer ID","Générer un ID client facile à lire"
"Global","Global"
"Grand Total","Montant global"
"Group","Groupe"
"Group ""%s"" can not be deleted","Le groupe ""%s"" ne peut pas être effacé"
"Group Information","Informations du groupe"
"Group Name","Nom de groupe"
"Guest","Invité"
"HTML","HTML"
"Hello, %s!","Bonjour, %s !"
"ID","ID"
"IP Address","Adresse IP"
"If you have an account with us, please log in.","Si vous avez déjà un compte, veuillez vous identifier."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Option spécifiée non valide pour l'attribut %s (%s), enregistrement ignoré"
"Invalid attribute set specified, skipping the record","Jeu d'attributs spécifié non valide, enregistrement ignoré"
"Invalid current password","Mot de passe actuel non valide"
"Invalid customer data","Données client non valides"
"Invalid email address","Adresse email non valide"
"Invalid email address ""%s""","Email ""%s"" non valide"
"Invalid login or password.","Identifiant ou mot de passe invalide."
"Invalid option id specified for %s (%s), skipping the record","Identifiant d'option spécifié non valide pour %s (%s), enregistrement ignoré"
"Invalid store specified, skipping the record","Magasin spécifié non valide, enregistrement ignoré"
"Last Activity","Dernière activité"
"Last Name","Nom"
"Last Url","Dernière url"
"Last date subscribed","Dernière date d'abonnement"
"Last date unsubscribed","Date de dernière désinscription"
"Last name can\'t be empty","Le nom de famille ne peut pas être vide"
"Leave empty for default (15 minutes).","Laisser vide pour utiliser la valeur par défaut (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Laisser vide pour utiliser la valeur par défaut (2). Éventail autorisé : 1-4"
"Lifetime Sales","Total des ventes"
"Log In","Connexion"
"Log Out","Déconnexion"
"Login","Se connecter"
"Login Information","Information de connexion"
"Login Options","Options de connexion"
"Login and password are required","Identifiant et mot de passe obligatoires"
"Login or Create an Account","Identifiez-vous ou créez un compte"
"M.I.","Deuxième prénom"
"MM","MM"
"Manage Addresses","Gérer les adresses"
"Manage Customers","Gérer les clients"
"Missing email, skipping the record","Email manquant, enregistrement ignoré"
"Missing firstname, skipping the record","Prénom manquant, enregistrement ignoré"
"Missing lastname, skipping the record","Nom de famille manquant, enregistrement ignoré"
"Month","Mois"
"My Account","Mon compte"
"My Dashboard","Mon tableau de bord"
"My Orders","Mes commandes"
"Name","Nom"
"Name and Address Options","Options de nom et d'adresse"
"Never","Jamais"
"New Address","Nouvelle adresse"
"New Address Entry","Saisie d'une nouvelle adresse"
"New Customer","Nouveau client"
"New Customer Address","Nouvelle adresse client"
"New Customer Group","Nouveau groupe de clients"
"New Customer Groups","Nouveaux groupes de clients"
"New Customers","Nouveaux clients"
"New Group","Nouveau groupe"
"New Password","Nouveau mot de passe"
"New account","Nouveau compte"
"New account confirmation key","Nouvelle clé de confirmation de compte"
"New account confirmed","Nouveau compte confirmé"
"New password","Nouveau mot de passe"
"Newsletter","Newsletter"
"Newsletter Finish","Fin de la newsletter"
"Newsletter Information","Informations newsletter"
"Newsletter Received","Newsletter reçue"
"Newsletter Start","Début de la newsletter"
"Newsletter Subscription","Inscription à la newsletter"
"Newsletters","Newsletters"
"No Items Found","Aucun article trouvé"
"No Newsletter Found","Pas de newsletter"
"No customer collections found","Aucune collection de client trouvée"
"No item specified.","Aucun article spécifié."
"Not Sent","Pas envoyé"
"Not confirmed, can login","Non confirmé, connexion possible."
"Not confirmed, cannot login","Non confirmé, connexion impossible."
"Number of lines in a street address ","Nombre de lignes dans l'adresse de rue "
"Offline","Déconnecté"
