"2-pixel perimeter around the header space.","Périmètre de 2 pixels autour de l'espace d'en-tête"
"3D Secure Card Validation","Validation carte 3D Secure"
"<a href=""http://www.magentocommerce.com/paypal"" target=""_blank"">Sign up for PayPal Merchant Account now!</a>","<a href=""http://www.magentocommerce.com/paypal"" target=""_blank"">Créez un compte PayPal Marchand !</a>"
"<a href=""http://www.magentocommerce.com/paypal"" target=""_blank"">Sign up for PayPal Merchant Account now!</a><br />
                    <a href=""http://www.paypal.com/en_US/m/demo/18077_ec.html"" target=""_blank"">See Demo</a>","<a href=""http://www.magentocommerce.com/paypal"" target=""_blank"">Créez un compte PayPal Marchand !</a><br />
                    <a href=""http://www.paypal.com/en_US/m/demo/18077_ec.html"" target=""_blank"">Voir la démo</a>"
"API Password","API Password"
"API Signature","API Signature"
"API Username","API Username"
"Acceptance Mark","Marque d'acceptation"
"Acceptance Mark Image","Image marque d'acceptation"
"Address Verification System Response","Adresse du système de vérification de réponse"
"All the address information matched","Vérification de toutes les informations de l'adresse"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Valeurs acceptées : ""paypal"", ""primaire"" (par défaut), votre_valeur_personnalisée (page de paiement personnalisée pour votre profil de compte marchand)"
"Allowed Credit Card Types","Types de cartes de crédit autorisées"
"Attempted Authentication, Bad Result","Tentative d'authentification. Mauvais résultat"
"Attempted Authentication, Good Result","Tentative d'authentification. Bon résultat"
"Authenticated, Bad Result","Authentifié. Mauvais résultat"
"Authenticated, Good Result","Authentifié. Bon résultat"
"Authorization","Autorisation"
"Authorization expired.","Autorisation expirée"
"Authorization transaction is required to void.","Transaction d'autorisation nécessaire pour annuler."
"Authorization was voided by merchant.","L'autorisation a été annulée par le marchand"
"Authorize and Capture","Autorisation et collecte"
"Billing Address","Adresse de facturation"
"Billing Information","Informations de facturation"
"Business Account","Compte business"
"Buttons Flavor (Website Payments Pro)","Types de boutons (PayPal Express)"
"CVV2 Check Result by PayPal","Résultat de vérification de CVV2 par PayPal"
"Centinel Api Custom URL","Url d'API Centinel personnalisée"
"Change Payment Method","Changer de mode de paiement"
"Change Shipping Address","Modifier"
"Countries Payment Applicable From","Pays applicables pour le paiement"
"Customer failed to pay.","Le client a échoué le paiement."
"Customer used non-confirmed address.","Le client a utilisé une adresse non confirmée"
"Debit or Credit Card","Carte de crédit ou de débit"
"Debug API Calls","Débugger les appels API"
"Debug Interactions with PayPal","Débugger les interactions avec PayPal"
"Discount","Remise"
"Dynamic","Dynamique"
"Edit Shopping Cart","Modifier le panier"
"Enable PayPal Guest Checkout","Activer le passage de commande pour invité avec PayPal"
"Enabled","Activé"
