"Billing Information","Informations de facturation"
"Change Payment Method","Modifier le mode de paiement"
"Change Shipping Address","Modifier"
"Credit Card Number: xxxx-%s","<strong>Numéro de carte de paiement :</strong> <span class=""nowrap"">xxxx-%s</span>"
"Credit Card Type: %s","<strong>Type de carte de paiement :</strong> <span class=""nowrap"">%s</span>"
"Debit or Credit Card","Carte de crédit ou de débit"
"Edit Shopping Cart","Modifier le panier"
"Incl. Tax","TTC"
"Issue Number","Numéro de problème"
"Issue Number:","Numéro de problème :"
"Items in Your Shopping Cart","Articles dans votre panier"
"Maestro/Solo","Maestro/Solo"
"Name on the Card: %s","<strong>Nom sur la carte :</strong> <span class=""nowrap"">%s</span>"
"No shipping method required.","Aucune méthode de livraison nécessaire."
"PayPal","PayPal"
"PayPal Email:","Email PayPal :"
"PayPal Uk Account","Compte Paypal UK"
"PayPalUK Express Order Review Form","Formulaire de commentaire de commande PayPalUK Express"
"Payment Method","Mode de paiement"
"Pending PayPal","En attente de Paypal"
"Place an Order","Passer une commande"
"Please enter issue number or start date for switch/solo card type.","Saisissez le numéro de problème ou la date de début pour le type de carte switch/solo."
"Please select a shipping method...","Sélectionnez un mode de livraison..."
"Please select a valid shipping method before submitting the order.","Sélectionnez un mode de livraison valide afin de valider la commande."
"Price","Prix"
"Product Name","Nom produit"
"Qty","Quantité"
"Review Order","Vérifier la commande"
"Shipping Address","Adresse de livraison"
"Shipping Information","Informations de livraison"
"Shipping Method","Mode de livraison"
"Sorry, no quotes are available for this order at this time.","Désolé, aucune estimation n'existe pour cette commande pour l'instant"
"Start Date:","Date de début :"
"Submitting order information...","Les informations de commande sont en cours d'envoi..."
"Subtotal","Sous-total"
"Switch/Solo Only","Switch/Solo seulement"
"Switch/Solo card issue number: %s","Numéro de problème de carte Switch/Solo : %s"
"Switch/Solo card start Date: %s/%s","Date de début de carte Switch/Solo : %s/%s"
"There was an error processing your order. Please contact us.","Erreur lors de la commande. Veuillez nous contacter."
"Update Shipping Method","Changer de mode de livraison"
"You will be redirected to PayPal in a few seconds.","Vous serez redirigé vers Paypal dans quelques secondes."
"Your billing address will be ignored and you will be redirected to PayPal UK website","Votre adresse de facturation sera ignorée et vous serez redirigé vers le site de Paypal UK."
