"All Websites","Tous les sites web"
"Apply Discounts To FPT","Appliquer les remises au TFP"
"Apply Tax To FPT","Appliquer la taxe au TFP"
"Display Prices In Emails","Afficher les prix dans les Emails"
"Display Prices In Product Lists","Afficher les prix dans la liste des produits"
"Display Prices In Sales Modules","Afficher les prix dans les modules de paiement"
"Display Prices On Product View Page","Afficher les prix dans les fiches produits"
"Enable FPT","Activer FPT"
"Excluding FPT","Exclure FPT"
"Excluding FPT, FPT description, final price","Exclure TFP, description TFP dans le prix final"
"Fixed Product Tax","Taxe Fixe Produit"
"Fixed Product Taxes","Taxes Fixes Produit"
"Include FPT In Subtotal","Inclure FPT dans le sous-total"
"Including FPT and FPT description","Inclure FPT et la description FPT"
"Including FPT and FPT description [incl. FPT VAT]","Inclure FPT et la description FPT [TVA FPT]"
"Including FPT only","Inclure seulement FPT"
"Total","Total"
"Total incl. tax","Total TTC"
