"Welcome to the Magento Demo Store!","Chào mừng bạn đến với cửa hàng Magento mẫu!"
"Welcome, %s!","Chào mừng, %s!"
"Next Page","Trang sau"
"Show","Hiển thị"
"Report All Bugs","Báo cáo lỗi"
"Close Window","Đóng cửa sổ"
"per page","mỗi trang"
"(ver. %s)","(bản %s)"
"Magento&trade; is a registered Trademark of Irubin Consulting Inc. DBA Varien. &copy; Copyright 2007","Magento&trade; là nhãn hiệu đã đăng ký của Irubin Consulting Inc. DBA Varien. &copy; Copyright 2007"
"Magento Commerce Demo Store","Cửa hàng Magento mẫu"
"Skip to Main Content","Nhảy đến Nội dung chính"
"Previous Page","Trang trước"
"Sản phẩm %s to %s of %s total","Sản phẩm %s đến %s trong tổng số %s"
"%s Item(s)","%s Sản phẩm"
"Help Us to Keep Magento Healthy","Giúp Magento phát triển"
"Page:","Trang:"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Đây là cửa hàng mẫu. Bất cứ đơn hàng nào được đặt qua cửa hàng này đều không được đáp ứng."
"You're currently on:","Hiện tại bạn đang ở:"
"Please select an option.","Hãy lựa một tuỳ chọn."
"This is a required field.","Đây là trường thông tin bắt buộc."
"Please enter a valid number in this field.","Hãy điền số hợp lệ vào trường này."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Chỉ dùng chữ số trong trường này. Tránh dùng khoảng trống hoặc những ký tự khác như dấu chấm hoặc dấu phẩy."
"Please use letters only (a-z) in this field.","Chỉ dùng chữ cái trong trường này (a-z)."
"Please use in this field only a-z","Chỉ dùng a-z trong trường này"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Chỉ dùng chữ cái (a-z) hoặc chữ số (0-9 trong trường này. Không chấp nhận khoảng trống hoặc những chữ cái khác."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Chỉ dùng chữ cái (a-z) hoặc chữ số (0-9) hoặc khoảng trống và dấu # trong trường này."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Hãy nhập một số điện thoại hợp lệ. Ví dụ (123) 456-7890 hoặc 123-456-7890."
"Please enter a valid date.","Hãy nhập một ngày hợp lệ."
"Please enter a valid email address. For example johndoe@domain.com.","Hãy nhập một địa chỉ email hợp lệ. Ví dụ ten_ban@domain.com."
"Please enter 6 or more characters.","Hãy nhập từ 6 ký tự trở lên."
"Please make sure your passwords match.","Hãy bảo đảm mật khẩu của bạn là đúng."
"Please enter a valid URL. http:// is required","Nhập một URL hợp lệ. Bắt buộc có http://"
"Please enter a valid URL. For example http://www.example.com or www.example.com","Hãy nhập một đường dẫn hợp lệ. Ví dụ:http://www.example.com hay www.example.com"
"Please enter a valid social security number. For example 123-45-6789.","Hãy nhập một số an sing xã hội hợp lệ. Ví dụ 123-45-6789."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Hãy nhập một khẩu khu vực hợp lệ. Ví dụ 90602 hay 90602-1234."
"Please enter a valid zip code.","Nhập một mã khu vực hợp lệ. "
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Hãy dùng định dạng ngày theo kiểu: ngày/tháng/năm. Ví dụ:17/03/2006 cho ngày 17 tháng Ba, 2006."
"Please enter a valid " amount. For example "100.00.","Hãy nhập số tiền " hợp lệ. Ví dụ "100.00."
"Please select one of the above options.","Chọn một trong các tuỳ chọn trên."
"Please select one of the options.","Hãy đánh dấu một lựa chọn."
"Please enter a valid number in this field.","Hãy nhập số hợp lệ vào ô này."
"Please select State/Province.","Hãy chọn Tỉnh thành."
"Please enter valid password.","Hãy nhập mật khẩu hợp lệ."
"Please enter a number greater than 0 in this field.","Hãy nhập một chữ số lớn hơn 0 vào trường này."
"Please enter a valid credit card number.","Hãy nhập số thẻ tín dụng hợp lệ."
"Please wait, loading...","Xin đợi một lát, đang tải…"

"Today's Deal","Khuyến mãi hôm nay"
"Recent Deals","Những khuyến mãi trước"
"Recent deals","Những khuyến mãi trước"
"How it works","Hướng dẫn sử dụng"
"Business","Chúng tôi là ai"
"For Businesses","Dành cho doanh nghiệp"
"Contact us","Liên hệ"
"Contact Us","Liên hệ"
"TODAY'S DEAL","Sale trong ngày"
"FEATURED DEALS","Sale nổi bật"
"TOUR","Du lịch"
"PRODUCTS","Sản phẩm"
"RECENT DEALS","Những khuyến mãi trước"
"HOW IT WORKS","Hướng dẫn"
"BUSINESS","Dành cho doanh nghiệp"
"CONTACT US",""
"No Deal Available","Không có khuyến mãi nào"
"Time Left To Buy":"Thời gian còn lại"

